Article,Faculty,FacultyID,ResearchArea
Illuminating solar energy,Fawwaz Habbal,1549,Environment
Imaging the chemistry of the global atmosphere,Steven C. Wofsy,1531,Climate
"In AP 50, students own their education",Eric Mazur,1561,Applied Physics|Academics
In automaton we trust,Radhika Nagpal,1569,Robotics
"In birds' development, researchers find diversity by the peck",Michael P. Brenner,1556,Bioengineering|Applied Mathematics
"In motor learning, it's actions, not intentions, that count",Maurice Smith,1532,Bioengineering
"In new mass-production technique, robotic insects spring to life",Robert J. Wood,1537,Robotics|Materials|Electrical Engineering
"In new quantum-dot LED design, researchers turn troublesome molecules to their advantage",Venkatesh Narayanamurti,1583,Electrical Engineering|Applied Physics
Increased risk of ozone loss from convectively injected water vapor,James G. Anderson,1732,Environment|Climate
"Increasing processor efficiency by ""shutting off the lights""",Gu-Yeon Wei,1563,Environment|Electrical Engineering
Infrared: A new renewable energy source?,Federico Capasso,1580,Environment|Electrical Engineering|Applied Physics
"Injectable sponge delivers drugs, cells, and structure",Sidi A. Bencherif|David A. Edwards,1637|1570,Materials|Health / Medicine|Bioengineering
"Injections to become pills, in vision of Harvard-launched startup",Samir Mitragotri,1884,Bioengineering|Health / Medicine
"Inside the cell, an ocean of buffeting waves",David A. Weitz,1544,Bioengineering
"Inspired by cotton candy, engineers put new spin on nanofibers",Kit Parker,1577,Bioengineering|Applied Physics
Inspired to innovate,David A. Weitz,1544,Academics
Instrumental lessons in engineering,Robert J. Wood,1537,Applied Physics
Inventors of QC lasers nominated for 2012 European Inventor Award,Federico Capasso,1580,Applied Physics
Investing in leadership,Harry R. Lewis,1533,Entrepreneurship|Awards
James Mickens granted tenure,James Mickens,1822,Academics|Computer Science
James R. Rice awarded the Harry Fielding Reid Medal,James R. Rice,1548,
James R. Rice to receive ASCE Theodore von Karman Medal,James R. Rice,1548,
James R. Rice wins Louis Néel Medal,James R. Rice,1548,
Jelani Nelson named Alfred P. Sloan Research Fellow,Jelani Nelson,1687,
Jelani Nelson receives prestigious NSF CAREER Award,Jelani Nelson,1687,Computer Science|Awards|AI / Machine Learning
Jelani Nelson wins Presidential Early Career Award for Scientists and Engineers,Jelani Nelson|David Parkes,1687|1727,Computer Science
Jelly-like atmospheric particles resist chemical aging,Scot T. Martin,1567,Environment|Climate
"Jezero Crater, here we come",Robin Wordsworth,1807,Planetary Science
Joanna Aizenberg elected Fellow of the American Physical Society,Joanna Aizenberg,1527,Materials|Bioengineering
Joanna Aizenberg elected to National Academy of Engineering,Joanna Aizenberg,1527,Awards|Bioengineering
"Joanna Aizenberg talks ""extreme biomimetics"" at TEDxBigApple",Joanna Aizenberg,1527,Materials|Bioengineering
Jonathan Zittrain named FCC Distinguished Scholar,Jonathan Zittrain,1639,Computer Science
Jonathan Zittrain named to Foreign Policy's Top 100 Global Thinkers,Jonathan Zittrain,1639,Computer Science
Jundong Wu and Chengye Liu receive Analog Devices student design award,Donhee Ham|Chengye Liu [REMOVED 2020-11-05],1538|1980,Electrical Engineering
Jung receives ADI Outstanding Designer Award,Donhee Ham,1538,Applied Physics|Awards|Electrical Engineering
Katia Bertoldi to receive ASME's 2014 Hughes Young Investigator Award,Katia Bertoldi,1598,Awards
Katia Bertoldi wins Faculty Early Career Development Award,Katia Bertoldi,1598,Materials|Awards|Applied Physics
Kilobots are leaving the nest,Radhika Nagpal,1569,Robotics|Computer Science
Kirigami grips could help seniors keep their footing,Katia Bertoldi,1598,Materials|Robotics
Kit Parker and Todd Zickler granted tenure,Todd Zickler|Kit Parker,1534|1577,Computer Science|Bioengineering|Applied Physics
"Kit Parker receives New England Achievement Award, part of National Engineers Week",Kit Parker,1577,Bioengineering|Applied Physics
Lab lessons,H.T. Kung,1575,
Large-scale wind power would require more land and cause more environmental impact than previously thought,David Keith,1688,Climate
"Laser activated gold pyramids could deliver drugs, DNA into cells without harm",Eric Mazur,1561,Bioengineering
Laser frequency combs may be the future of Wi-Fi,Federico Capasso,1580,Applied Physics
Launching a life of service,Robert D. Howe,1555,
Leading the charge,Cynthia Dwork,1865,Computer Science|Diversity / Inclusion|Events
Leading through impact,Margo I. Seltzer|David Parkes,1546|1727,Entrepreneurship
Learning’s online fate,Harry R. Lewis,1533,Computer Science|Academics
Lene Hau named DOD National Security Fellow,Lene V. Hau,1741,Applied Physics
Life from chaos,L Mahadevan,1558,Applied Mathematics
Life-like stretching of cells,Joanna Aizenberg,1527,
Ling Qin wins 2011 Analog Devices student design award,Donhee Ham,1538,Electrical Engineering
Locking up fats in CAGEs to treat obesity,Samir Mitragotri,1884,Bioengineering|Health / Medicine
Loncar and Vase win 2012 Levenson Prize for Excellence in Undergraduate Teaching,Marko Loncar,1541,Electrical Engineering|Academics
Long live the smartphone,Woodward Yang,1564,Electrical Engineering|Computer Science
Long-lasting flow battery could run for more than a decade with minimum upkeep,Michael J. Aziz,1584,Environment
Lund University to appoint Federico Capasso as honorary doctor,Federico Capasso,1580,Applied Physics
Madhu Sudan elected to National Academy of Sciences,Madhu Sudan,1832,
Making big data a little smaller,Jelani Nelson,1687,Computer Science
Making every cell matter,David A. Weitz,1544,Health / Medicine
Making optical molasses,Lene V. Hau,1741,Applied Physics
Making visualizations more memorable,Hanspeter Pfister,1566,
Manoharan named AAAS Fellow,Vinothan N. Manoharan,1552,Awards
Mapping the brain,Hanspeter Pfister,1566,Computer Science|Bioengineering
Margo Seltzer awarded Undergraduate Research Faculty Mentoring Award,Margo I. Seltzer,1546,
Margo Seltzer honored with McDonald Mentoring Award,Margo I. Seltzer,1546,Computer Science|Academics
Margo Seltzer named director of Center for Research on Computation and Society,Margo I. Seltzer,1546,
Marine sponges inspire the next generation of skyscrapers and bridges,Katia Bertoldi|Joanna Aizenberg,1598|1527,Bioengineering|Design|Materials
Markets for science,Yiling Chen,1519,
Marko Loncar approved for promotion to tenured full professor,Marko Loncar,1541,Electrical Engineering
Marko Loncar named a 2010 Alfred P. Sloan Fellow,Marko Loncar,1541,Electrical Engineering|Awards
Marriage of microfluidics and optics could advance lab-on-a-chip devices,David A. Weitz,1544,Robotics|Electrical Engineering
Maurice A. Smith approved for promotion to tenured full professor,Maurice Smith,1532,
Maurice Smith awarded Sloan Fellowship,Maurice Smith,1532,Bioengineering|Awards
Maurice Smith elected to AIMBE,Maurice Smith,1532,Awards
Mazur group will help to enhance teaching at U. Texas at Austin,Julie Schell|Eric Mazur,1658|1561,Academics
Measuring life's tugs and nudges,David A. Weitz,1544,Bioengineering|Applied Physics
Measuring the mass of 'massless' electrons,Donhee Ham,1538,Applied Physics
Mechanical engineer Aaron Dollar '07 (Ph.D.) named to TR35,Robert D. Howe,1555,Robotics|Bioengineering
Meet David Sengeh '10 and his mentor bioengineer David Edwards,David A. Edwards,1570,
Merging the biological and the electronic,Zhigang Suo|Charles M. Lieber,1553|1733,Health / Medicine|Electrical Engineering
Meta-surface corrects for chromatic aberrations across all kinds of lenses,Federico Capasso,1580,Applied Physics|Optics / Photonics
Metal nanoparticles shine with customizable color,Kwanyong Seo [REMOVED 2020-11-05],13566,Optics / Photonics|Electrical Engineering|Applied Physics
Metalens grows up,Federico Capasso,1580,Applied Physics|Optics / Photonics
"Metalens works in the visible spectrum, sees smaller than a wavelength of light",Federico Capasso,1580,Optics / Photonics
Metalmark launches to make clean air affordable for all,Joanna Aizenberg,1527,Materials
Metamaterials may advance with new femtosecond laser technique,Eric Mazur,1561,Materials|Applied Physics
Metasurface opens world of polarization,Federico Capasso,1580,Applied Physics|Optics / Photonics
Methane emissions in Arctic cold season higher than expected,Steven C. Wofsy,1531,Environment|Climate
Michael Brenner awarded George Ledlie Prize,Michael P. Brenner,1556,Applied Mathematics
Michael Brenner named Harvard College Professor,Michael P. Brenner,1556,Applied Physics|Applied Mathematics|Academics
Michael J. Aziz named 2010 MRS Fellow,Michael J. Aziz,1584,Awards
Michael J. Aziz receives Bruce Chalmers Award,Michael J. Aziz,1584,
Michael Mitzenmacher and Stuart Shieber named 2014 ACM Fellows,Stuart M. Shieber|Michael D. Mitzenmacher,1557|1526,Computer Science
Michael O. Rabin wins Dan David Prize,Michael O. Rabin,1547,Computer Science
Michael P. Brenner named Simons Investigator,Michael P. Brenner,1556,Applied Physics|Applied Mathematics
Microfluidics Lab provides new core facility for undergraduate teaching,Robert M. Westervelt|Anas Chalah,1585|1568,Applied Physics|Academics
Microscopic “sunflowers” for better solar panels,Joanna Aizenberg,1527,Materials
Mighty mesh,Michael P. Brenner|David A. Weitz|Agnese Seminara [REMOVED 2020-11-05],1556|1544|13651,Bioengineering|Applied Physics|Applied Mathematics
Mimicking biological movements with soft robots,Katia Bertoldi,1598,
"Minuscule chips for NMR spectroscopy promise portability, parallelization",Donhee Ham,1538,Environment|Electrical Engineering
Mitigating the risk of geoengineering,David Keith,1688,Climate
Multifunctional metalens unlocks with light,Federico Capasso,1580,Optics / Photonics
Multifunctional nanofiber protects against extreme temperatures and fast-moving projectiles,Kit Parker,1577,Materials
"Multimaterial 3D printing manufactures complex objects, fast",Jennifer Lewis,1715,Materials
Multiregional brain on a chip,Kit Parker,1577,
Na Li awarded 2019 Young Investigator from Office of Naval Research,Na Li,1764,Awards
Na Li receives McDonald Mentoring Award,Na Li,1764,Awards
Na Li wins prestigious AACC 2019 Donald P. Eckman Award,Na Li,1764,Awards
Na Li wins prestigious NSF Career Award,Na Li,1764,Electrical Engineering|Awards
Nano meets pharma at Harvard-BASF symposium,David A. Weitz,1544,Technology|Bioengineering
Nano-optic endoscope sees deep into tissue at high resolution,Federico Capasso,1580,Optics / Photonics
Nanospray for nanodrugs,David A. Weitz,1544,Bioengineering|Applied Physics
"Nanshu Lu (Ph.D. '09), engineer of 'electronic tattoos,' named to TR35",Zhigang Suo,1553,Electrical Engineering
Narang named to the 2018 Class of CIFAR Azrieli Global Scholars,Prineha Narang,1889,Awards
National Science Foundation awards $20M to launch artificial-intelligence institute,Demba Ba|Yaron Singer|Todd Zickler,1802|1713|1534,AI / Machine Learning
Needle beam could eliminate signal loss in on-chip optics,Federico Capasso,1580,Optics / Photonics|Applied Physics
New coating evicts biofilms for good,Joanna Aizenberg,1527,Materials|Bioengineering
New coating turns ordinary glass into super-slippery glass,Joanna Aizenberg,1527,Materials|Bioengineering|Applied Physics
"New device hides, on cue, from infrared cameras",Federico Capasso,1580,Optics / Photonics|Materials|Applied Physics
New drug delivery system suppresses tumors in mice,David A. Weitz,1544,Bioengineering|Health / Medicine
New functionality for integrated photonic chips,Marko Loncar,1541,Optics / Photonics
New grant to support Harvard research on energy-efficient manufacturing,Efthimios Kaxiras,1551,Environment
"New laser opens up large, underused region of the electromagnetic spectrum",Federico Capasso,1580,Applied Physics|Optics / Photonics
New leadership,Harry R. Lewis,1533,
"New medical devices course leads to student innovations, publications",William Marks [REMOVED 2020-11-05],1756,Health / Medicine|Academics
New pop-up sensor may help robotic surgery,Robert J. Wood,1537,Robotics
"New pop-up strategy inspired by cuts, not folds",Katia Bertoldi,1598,
New research improves global climate models,Scot T. Martin,1567,Environment|Climate
"New RoboBee flies, dives, swims and explodes out the of water",Robert J. Wood,1537,Robotics
New tools will make sharing research data safer in cyberspace,Salil P. Vadhan,1521,Computer Science|AI / Machine Learning
New ‘moonshot’ effort to understand the brain brings artificial intelligence closer to reality,Hanspeter Pfister,1566,AI / Machine Learning
Next generation of soft robots inspired by a children’s toy,Katia Bertoldi,1598,Robotics
Next-generation cockroach-inspired robot is small but mighty,Robert J. Wood,1537,Robotics
Next-generation robotic cockroach can explore underwater environments,Robert J. Wood,1537,Robotics
"No battery, no wire, no problem",Robert J. Wood,1537,
"No more Iron Man: submarines now have soft, robotic arms",Robert J. Wood,1537,Environment|Robotics
Noise warfare,Yaron Singer,1713,Computer Science
Not so anonymous,Stephen Chong,1605,Computer Science
Novel 3D printing technique yields high-performance composites,Jennifer Lewis,1715,Bioengineering
Novel coating that repels just about anything receives R&D 100 Award,Joanna Aizenberg,1527,Materials|Bioengineering
Novel metasurface revolutionizes ubiquitous scientific tool,Federico Capasso,1580,Applied Physics
Novel non-stick material joins portfolio of slippery surface technologies,Joanna Aizenberg,1527,Materials|Health / Medicine|Bioengineering
"Now entering, Lithium Niobate Valley",Marko Loncar,1541,Materials|Optics / Photonics
NSF grant will help deepen our understanding of Arctic climate change,Loretta J. Mickley|Daniel J. Jacob,1608|1559,Environment|Climate
NSF grant will virtualize evidence-based teaching for science and engineering,Julie Schell|Eric Mazur,1658|1561,Awards|Applied Physics|Academics
Nurturing the seeds of innovation,Fawwaz Habbal,1549,Entrepreneurship
Observation about motor learning could help with stroke recovery,Maurice Smith,1532,Bioengineering
"On Facebook's 10th birthday, Harvard looks ahead",Jonathan Zittrain,1639,Entrepreneurship|Computer Science
"On-chip, electronically tunable frequency comb",Marko Loncar,1541,Optics / Photonics
Opportunity blows for offshore wind in China,Michael B. McElroy,1525,Climate|Environment
Order from disorder,Federico Capasso,1580,Applied Physics|Optics / Photonics
Organic mega flow battery promises breakthrough for renewable energy,Michael J. Aziz,1584,Materials|Environment
"Organic Mega Flow Battery transcends lifetime, voltage thresholds",Michael J. Aziz,1584,Materials
Outsmarting poachers,Milind Tambe,3141,AI / Machine Learning
Paths to success,Evelyn Hu,1545,Electrical Engineering|Diversity / Inclusion|Applied Physics
"Perfect colors, captured with one ultra-thin lens",Federico Capasso,1580,Optics / Photonics
Perfecting digital imaging,Todd Zickler|Hanspeter Pfister,1534|1566,Computer Science
Personalizing wearable devices,Scott Kuindersma,1821,Robotics
Photo of Centipede-bot wins honorable mention from Science,Robert J. Wood,1537,Robotics|Electrical Engineering|Bioengineering
Picture perfect plates,Pavlos Protopapas,1668,Computer Science
"Portable nanofiber device offers precise, point-and-shoot capability",Kit Parker,1577,
"Portable, injectable clotting agent could treat trauma victims on the front lines",Samir Mitragotri,1884,Health / Medicine|Bioengineering
Practical programs,David J. Malan,1543,Computer Science
Predictive text systems change what we write,Krzysztof Z Gajos,1611,AI / Machine Learning|Computer Science
Preparing Harvard for the effects of climate change,Robert D. Howe,1555,Environment|Climate
Preventing poaching,Milind Tambe,3141,AI / Machine Learning|Computer Science
Prineha Narang awarded NSF CAREER Award,Prineha Narang,1889,Applied Physics|Quantum Engineering
Prineha Narang named Moore Inventor Fellow,Prineha Narang,1889,Awards|Materials
"Printing lightweight, flexible, and functional materials",Jennifer Lewis,1715,Robotics|Materials
Printing metal in midair,Jennifer Lewis,1715,Materials
Problem solvers by design,Fawwaz Habbal,1549,Academics|Environment
Programmable balloons pave the way for new shape-morphing devices,Katia Bertoldi,1598,Materials|Robotics
Programming kirigami,Katia Bertoldi,1598,Materials|Robotics
Programming light on a chip,Marko Loncar,1541,Applied Physics|Optics / Photonics
"Progress in quantum computing, qubit by qubit",Marko Loncar|Amir Yacoby,1541|1762,Electrical Engineering|Applied Physics
Pulling an all-nighter,David J. Malan,1543,Academics|Computer Science|Events
Pulling water from thin air,Joanna Aizenberg,1527,Materials
"Purple heart, crimson soul",Kit Parker,1577,
Pushing boundaries,Margo I. Seltzer,1546,Computer Science
Pyramid scheme,Eric Mazur,1561,Bioengineering
Radhika Nagpal approved for promotion to tenured full professor,Radhika Nagpal,1569,Computer Science|Bioengineering|AI / Machine Learning
Radhika Nagpal receives McDonald mentoring award,Radhika Nagpal,1569,
"Radhika Nagpal, expert on swarm robotics, celebrated among ""Nature's 10""",Radhika Nagpal,1569,Robotics
Re-thinking gene expression,Ariel Amir,1795,Applied Mathematics
Reaching for the stars,Robin Wordsworth,1807,
Reading life’s building blocks,Charles M. Lieber,1733,Applied Physics
Real texture for lab-grown meat,Kit Parker,1577,Bioengineering
Recognizing patterns in genomic data,Hanspeter Pfister,1566,Bioengineering
Reduction in U.S. carbon emissions attributed to cheaper natural gas,Xi Lu|Michael B. McElroy,1654|1525,Environment|Climate
"Reengineering privacy, post-Snowden",Salil P. Vadhan,1521,Computer Science
Reflections on the source of ideas,Venkatesh Narayanamurti,1583,
Reinventing the classroom,Harry R. Lewis,1533,Computer Science|Academics
"Reluctant electrons enable ""extraordinarily strong"" negative refraction",Donhee Ham,1538,Optics / Photonics|Electrical Engineering|Applied Physics
Remote work will stress-test the internet — and parts will fail,James H. Waldo,1660,Computer Science|Technology
Renewable energy research receives multimillion-dollar federal backing,Michael J. Aziz,1584,Environment|Climate
Renewed Harvard-BASF initiative to advance functional materials,Richard McCullough|David A. Weitz,1765|1544,Materials|Technology|Environment|Applied Physics
Renowned bioengineer to join Harvard faculty,Samir Mitragotri,1884,
Report views climate change as national security issue,Michael B. McElroy,1525,Environment|Computer Science|Climate
Research flights from the Arctic to Antarctic paint a vivid portrait of the atmosphere,Steven C. Wofsy,1531,Environment|Climate
Research rethinks the evolutionary importance of variability in a population,Ariel Amir,1795,Applied Mathematics
Researchers at Harvard and MITRE produce world’s first programmable nanoprocessor,Charles M. Lieber,1733,Electrical Engineering
Researchers at Harvard China Project urge carbon tax,Chris Nielsen,1616,Environment|Climate
Researchers combine metalens with an artificial muscle,Federico Capasso,1580,Technology
Researchers develop technique to control and measure electron spin voltage,Ariel Amir,1795,
Researchers discover the cause of irradiation-induced instability in materials surfaces,Michael P. Brenner|Michael J. Aziz,1556|1584,Materials|Environment|Applied Mathematics
Researchers see complexity in China's emissions,Chris Nielsen,1616,Environment|Climate
Rethinking wind power,David Keith,1688,Environment|Climate
Reviving cells after a heart attack,Kit Parker,1577,Bioengineering|Health / Medicine
Rewarding research,Maurice Smith,1532,Bioengineering
Rice to receive AGU's Walter H. Bucher Medal,James R. Rice,1548,Environment
Rob Howe's lab is inspired by coffee cups ... and video games,Robert D. Howe,1555,
Robert Howe named IEEE Fellow,Robert D. Howe,1555,Robotics|Electrical Engineering|Bioengineering
Robert J. Wood approved for promotion to tenured full professor,Robert J. Wood,1537,Robotics|Electrical Engineering
Robert J. Wood named National Geographic Emerging Explorer,Robert J. Wood,1537,
Robert Wood receives McDonald mentoring award,Robert J. Wood,1537,
RoboBee powered by soft muscles,Robert J. Wood|David Clarke,1537|1731,Electrical Engineering|Robotics
Robot folds itself up and walks away,Robert J. Wood,1537,Robotics|Materials
Robot transitions from soft to rigid,Robert D. Howe,1555,Robotics
Robotic construction crew needs no foreman,Radhika Nagpal,1569,Robotics|Computer Science|Bioengineering|AI / Machine Learning
Robotic design and production as easy as 1-2-3,Robert J. Wood,1537,Robotics|Materials|Electrical Engineering|Awards
Robotic grasper grabs worldwide exclusive license,Robert D. Howe,1555,Robotics
Robotic insect mimics nature’s extreme moves,Robert J. Wood,1537,Robotics|Bioengineering
Robotic tool may enable surgeons to repair living heart,Robert D. Howe,1555,Robotics|Health / Medicine|Bioengineering
Robots to the rescue,Robert D. Howe,1555,Robotics|Health / Medicine|Electrical Engineering|Computer Science|Bioengineering
Roger Brockett to receive lifetime achievement award,Roger W. Brockett,1530,Bioengineering
Roger W. Brockett honored with McDonald Mentoring Award,Roger W. Brockett,1530,Computer Science|Bioengineering|Academics
Roger W. Brockett receives AACC Ragazzini Education Award,Roger W. Brockett,1530,Bioengineering|Academics
Ryan Adams and Ariel Amir named 2015 Alfred P. Sloan Research Fellows,Ariel Amir,1795,Awards
Sadasivan Shankar appointed Distinguished Scientist in Residence,Sadasivan Shankar|Efthimios Kaxiras,2417|1551,Materials|Computer Science|Applied Mathematics
Saving Chilean mummies from climate change,Ralph Mitchell,1529,Bioengineering
Scholars greet Paris exit as multifaceted mistake,Michael B. McElroy,1525,Climate
Science that soars,James G. Anderson,1732,Academics
Scientists characterize a new shape using rubber bands,Katia Bertoldi|Jia Liu,1598|2715,Applied Physics
Sculpting optical microstructures with slight changes in chemistry,Joanna Aizenberg,1527,
SEAS computer science faculty to teach short courses for execs,Michael D. Mitzenmacher|Harry R. Lewis,1526|1533,Computer Science
SEAS dean to step down,Venkatesh Narayanamurti,1583,
SEAS faculty and students win IEEE conference awards,Robert J. Wood|Robert D. Howe,1537|1555,Robotics|Bioengineering|AI / Machine Learning
SEAS Professor of the Practice Jim Waldo named University CTO,James H. Waldo,1660,Computer Science
SEAS receives grants from the Harvard Initiative for Learning and Teaching,Todd Zickler|Eric Mazur,1534|1561,Environment|Academics
SEAS research named among discoveries of the year,Robert J. Wood|Federico Capasso,1537|1580,
"SEAS to be featured on ""60 Minutes""",David A. Weitz,1544,Applied Physics
SEAS to offer graduate secondary field in Computational Science and Engineering,Efthimios Kaxiras,1551,Computer Science|Applied Mathematics
SEAS will benefit from investment by Intel in academic research,Hanspeter Pfister,1566,Computer Science
Seasonal CO2 range expanding as more is added to the atmosphere,Steven C. Wofsy,1531,Environment|Climate
Seeing viruses in a new light,Vinothan N. Manoharan,1552,Health / Medicine|Applied Physics
"Seeking structural color, engineers find it glinting in the sea",Joanna Aizenberg,1527,Bioengineering
Self-cooling windows let in sunlight without the heat,Joanna Aizenberg,1527,
Self-excited dancing droplets,L Mahadevan,1558,Applied Mathematics
Senior profile: Sayo Eweje,Kit Parker,1577,Bioengineering
Seniors honored for outstanding projects,Robert J. Wood,1537,Awards|Events
Setting the standard for Machine Learning,Vijay Janapa Reddi,2728,Computer Science|AI / Machine Learning
Seven Million Face Shields and Counting,James C. Weaver|Jennifer Lewis,21981|1715,Health / Medicine|COVID-19
Shape-shifting sheets automatically fold into multiple shapes,Robert J. Wood,1537,Robotics|Electrical Engineering
"Shape-shifting structures take the form of a face, antenna",L Mahadevan|Jennifer Lewis,1558|1715,Applied Mathematics|Materials
"Sharing design, in all its forms",Michael D. Mitzenmacher|Anas Chalah,1526|1568,
She made her mark,Margo I. Seltzer,1546,Diversity / Inclusion|Computer Science
Shrinking gel prompts tooth tissue formation,Joanna Aizenberg,1527,Health / Medicine|Bioengineering
Simple math explains dramatic beak shape variation in Darwin’s finches,Michael P. Brenner,1556,Bioengineering
Simplicity key to building robot hands,Robert D. Howe,1555,Robotics|Electrical Engineering
Simplifying soft robots,Katia Bertoldi,1598,Robotics
Single metalens focuses all colors of the rainbow in one point,Federico Capasso,1580,Optics / Photonics
Six distinguished researchers join SEAS faculty,Samir Mitragotri,1884,Academics
"Slicing mitotic spindle with lasers, nanosurgeons unravel old pole-to-pole theory",Eric Mazur,1561,Bioengineering|Applied Physics
Slippery liquid surfaces confuse mussels to prevent their adhesion to underwater structures,Joanna Aizenberg,1527,
Slippery slope: researchers take advice from carnivorous plant,Joanna Aizenberg|Alison Grinthal,1527|1648,Materials|Bioengineering
Slow road to stability for emulsions,Vinothan N. Manoharan|Michael P. Brenner,1552|1556,Applied Physics
Small but fast: a miniaturized origami-inspired robot combines micrometer precision with high speed,Robert J. Wood,1537,Robotics
Small modulator for big data,Marko Loncar,1541,Optics / Photonics|Applied Physics
"Smaller, smarter, softer robotic arm for endoscopic surgery",Robert J. Wood,1537,
Smart materials get SMARTer,Joanna Aizenberg,1527,Materials|Bioengineering|Applied Physics
"Smoke from 2015 Indonesian fires may have caused 100,000 premature deaths",Loretta J. Mickley,1608,Environment
Snake-inspired robot slithers even better than predecessor,Katia Bertoldi,1598,Materials|Robotics
Snake-inspired robot uses kirigami to move,Katia Bertoldi,1598,Bioengineering|Robotics
Socially distanced solvers,David J. Malan,1543,Computer Science
Socially-minded projects abound at I3 start-up competition,William Marks [REMOVED 2020-11-05],1756,Entrepreneurship
Soft robot survives fire and ice,Robert J. Wood,1537,Robotics
Soft robotic exosuit makes stroke survivors walk faster and farther,Conor J Walsh,1667,Health / Medicine|Robotics
Solar energy could turn the Belt and Road Initiative green,Michael B. McElroy,1525,Climate|Environment|Geoengineering
Solutions in transit,Fawwaz Habbal,1549,Academics
Solving the pancake problem,Shmuel Rubinstein,1592,Materials|Applied Physics
Sorting device for biological reactions puts the power of a lab in a pocket,David A. Weitz,1544,Applied Physics
Squeezing light at the nanoscale,Federico Capasso,1580,Optics / Photonics
"Stain-free, self-cleaning clothing on the horizon",Philseok Kim [REMOVED 2020-11-05]|Joanna Aizenberg,1631|1527,Materials
"Stars, stripes, and science",Kit Parker,1577,K-12
Stealing from Nature,Joanna Aizenberg,1527,
Stephanie Gil joins Harvard Engineering,Stephanie Gil,22051,Robotics
Stephen Chong approved for promotion to tenured full professor,Stephen Chong,1605,
Stephen Chong named 2014 Alfred P. Sloan Research Fellow,Stephen Chong,1605,Computer Science|Awards
Stephen Chong wins Air Force Young Investigator Award,Stephen Chong,1605,Computer Science|Awards
Steve Wofsy chats about HIAPER,Steven C. Wofsy,1531,Environment|Climate
Steven C. Wofsy awarded Roger Revelle Medal,Steven C. Wofsy,1531,Environment|Climate
Steven C. Wofsy elected to the National Academy of Sciences,Steven C. Wofsy,1531,Environment|Climate|Awards
Street smarts,Pavlos Protopapas|Mauricio Santillana,1668|1625,Computer Science|Applied Mathematics
Stuart Shieber named ACL Fellow,Stuart M. Shieber,1557,
Student engineering project to fly into the stratosphere on NASA mission,James G. Anderson,1732,Academics
Students place third in international programming contest,Jelani Nelson,1687,
Studies in systems,Fawwaz Habbal,1549,
Studying aliens of the deep,Robert J. Wood,1537,Environment|Robotics
Sulfur emissions dropped as utilities idled old coal plants,Michael B. McElroy,1525,Environment|Climate
"Super-slick material makes steel better, stronger, cleaner",Joanna Aizenberg,1527,Materials
Support for seven from president’s climate fund,Michael B. McElroy,1525,Environment|Climate
Surfing a wake of light,Federico Capasso,1580,Optics / Photonics|Electrical Engineering|Applied Physics
Switching to renewable energy could save thousands of lives in Africa,Loretta J. Mickley,1608,Environment|Health / Medicine
Taking going green to the extreme may invade privacy,Harry R. Lewis,1533,Computer Science
Taking the guesswork out of twistronics,Efthimios Kaxiras,1551,Applied Physics|Quantum Engineering
Targeting solar geoengineering to minimize risk and inequality,David Keith,1688,Environment|Climate|Applied Physics
Teaching machines to see,Todd Zickler,1534,Computer Science|Bioengineering|AI / Machine Learning
Teaching the next generation of quantum scientists,Robert M. Westervelt,1585,Quantum Engineering
"Team provides first plan for commercially viable, industrial-scale carbon removal plant",David Keith,1688,Climate|Geoengineering
"Technique makes holograms highly efficient, secure",Federico Capasso,1580,Optics / Photonics|Applied Physics
"Technique makes more efficient, independent holograms",Federico Capasso,1580,
Teeing up collaboration,Yiling Chen|Daniel P. Schrag,1519|1636,
Tension instability flattens thick block,Katia Bertoldi,1598,
Testing the power of stem cell-derived heart muscle cells,Kit Parker,1577,Health / Medicine
The art of science,Kit Parker,1577,K-12
The changing chemistry of the Amazonian atmosphere,Scot T. Martin,1567,Climate|Environment
The culprit of superconductivity in cuprates,Xin Li,1823,Materials
The false choice of basic vs. applied research,Venkatesh Narayanamurti,1583,
"The first autonomous, entirely soft robot",Robert J. Wood,1537,Robotics|Materials
The first laser radio transmitter,Federico Capasso,1580,Optics / Photonics
The Fort McMurray wildfires: an indication of what’s to come,Loretta J. Mickley,1608,Climate
The fundamental physics of frequency combs sheds light on nature’s problem-solving skills,Federico Capasso,1580,Optics / Photonics|Applied Physics
The need for speed,Michael J. Aziz|Hanspeter Pfister|Efthimios Kaxiras,1584|1566|1551,Computer Science
The past and future of AI: A chat with Barbara Grosz,Barbara J. Grosz,1523,AI / Machine Learning
The physics of better batteries,Philip Kim,1799,
The RoboBee flies solo,Robert J. Wood,1537,Robotics|Electrical Engineering
The science of the artificial,David Parkes,1727,Computer Science
The secrets of secretion,Joanna Aizenberg,1527,Materials|Environment|Bioengineering|Applied Physics
The Tentacle Bot,Katia Bertoldi,1598,Robotics
The trouble with thaw,James G. Anderson,1732,Climate
The uncertain future of energy and climate,Michael B. McElroy,1525,Environment|Climate
The unconventional David Edwards,David A. Edwards,1570,Entrepreneurship|Bioengineering
The watchword is innovation,Joanna Aizenberg,1527,
Three join National Academy of Inventors,Richard McCullough,1765,Awards
Three SEAS grad students selected to present new technology at URES,Robert D. Howe|Marko Loncar|Gu-Yeon Wei,1555|1541|1563,Robotics|Health / Medicine|Electrical Engineering|Bioengineering
