Title,Catalog Subject,Course ID,Course Number,Instructors,Teaching Areas,Term,Website
Privacy and Technology,COMPSCI,125407,105,James Waldo,Computer Science,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-125407/2020/fall/16342
Probability with Engineering Applications,ENG-SCI,116859,150,Yue Lu,Materials Science & Mechanical Engineering|Electrical Engineering|Bioengineering,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-116859/2020/spring/16380
Professional Writing for Scientists and Engineers,ENG-SCI,207614,297,Jenny Hoffman|Suzanne Smith,Materials Science & Mechanical Engineering|Electrical Engineering|Bioengineering,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-207614/2020/fall/19222
Programming Languages,COMPSCI,119629,152,Nada Amin,Computer Science,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-119629/2020/spring/16304
Quantitative Physiology as a Basis for Bioengineering,ENG-SCI,122339,53,Daniel Needleman|Linsey Moyer,Materials Science & Mechanical Engineering|Electrical Engineering|Bioengineering,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-122339/2020/fall/16465
Quantum and Classical Electromagnetic Interaction with Matter,APPHY,141253,216,Donhee Ham,Applied Physics,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-141253/2020/spring/17123
Quantum Devices,ENG-SCI,118028,274,Marko Loncar|Federico Capasso,Materials Science & Mechanical Engineering|Electrical Engineering|Bioengineering,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-118028/2020/fall/18605
Quantum Theory of Solids,APPHY,146948,295B,Subir Sachdev,Applied Physics,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-146948/2020/spring/16264
Research Topics in Human-Computer Interaction,COMPSCI,121985,279R,Elena Glassman,Computer Science,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-121985/2020/fall/16368
Research Topics in Operating Systems,COMPSCI,143667,261,Eddie Kohler,Computer Science,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-143667/2020/spring/18144
Science & Engineering for Managing COVID Seminar,ENG-SCI,216462,20R,Evelyn Hu|Michael P. Brenner|John Doyle,Materials Science & Mechanical Engineering|Electrical Engineering|Bioengineering,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-216462/2020/fall/19155
Seminar on Global Pollution Issues: Case Study of Lead Biogeochemistry,ESE,109341,169,Elsie Sunderland,Environmental Science & Engineering,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-109341/2020/spring/18883
Signals and Communications,ENG-SCI,148148,156,Flavio du Pin Calmon,Materials Science & Mechanical Engineering|Electrical Engineering|Bioengineering,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-148148/2020/spring/16389
Solid Mechanics,ENG-SCI,131521,240,Joost Vlassak,Materials Science & Mechanical Engineering|Electrical Engineering|Bioengineering,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-131521/2020/fall/16479
Solids: Structure and Defects,APPHY,142998,282,Frans Spaepen,Applied Physics,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-142998/2020/fall/16312
Solving and Optimizing,APMTH,211334,22A,Steven Gortler,Applied Mathematics,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-211334/2020/fall/16277
Solving Tech’s Public Dilemmas,ENG-SCI,107995,298R,Ash Carter,Materials Science & Mechanical Engineering|Electrical Engineering|Bioengineering,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-107995/2020/fall/21894
Space Science and Engineering: Theory and Applications,ESE,160452,160,Robin Wordsworth,Environmental Science & Engineering,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-160452/2020/fall/18689
Special Topics in Applied Computation,APCOMP,109613,299R,Daniel Weinstock,Applied Computation,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-109613/2020/spring/16192
Special Topics in Applied Computation,APCOMP,109613,299R,Daniel Weinstock,Applied Computation,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-109613/2020/fall/16240
Special Topics in Applied Mathematics,APMTH,116840,299R,Yiling Chen,Applied Mathematics,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-116840/2020/fall/16252
Special Topics in Applied Mathematics,APMTH,116840,299R,Cengiz Pehlevan,Applied Mathematics,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-116840/2020/spring/16203
Special Topics in Applied Physics,APPHY,131373,299R,Federico Capasso,Applied Physics,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-131373/2020/fall/16280
Special Topics in Applied Physics,APPHY,131373,299R,Federico Capasso,Applied Physics,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-131373/2020/spring/16228
Special Topics in Computer Science,COMPSCI,114035,299R,Leslie Valiant,Computer Science,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-114035/2020/spring/16296
Special Topics in Computer Science,COMPSCI,114035,299R,David Brooks,Computer Science,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-114035/2020/fall/16349
Special Topics in Engineering Sciences,ENG-SCI,143668,299R,Fawwaz Habbal,Materials Science & Mechanical Engineering|Electrical Engineering|Bioengineering,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-143668/2020/fall/16417
Special Topics in Engineering Sciences,ENG-SCI,143668,299R,Fawwaz Habbal,Materials Science & Mechanical Engineering|Electrical Engineering|Bioengineering,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-143668/2020/spring/16390
Startup R & D,ENG-SCI,109272,95R,Paul Bottino,Materials Science & Mechanical Engineering|Electrical Engineering|Bioengineering,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-109272/2020/spring/19485
Startup R & D,ENG-SCI,109272,95R,Paul Bottino,Materials Science & Mechanical Engineering|Electrical Engineering|Bioengineering,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-109272/2020/fall/18762
Statistical Inference for Scientists and Engineers,APMTH,132127,101,Robert D. Howe|Jeffrey Paten,Applied Mathematics,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-132127/2020/fall/21834
Statistical Inference for Scientists and Engineers,APMTH,132127,101,Robert D. Howe|Jeffrey Paten,Applied Mathematics,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-132127/2020/fall/16248
Statistical Mechanics,APPHY,131392,284,Eugene Demler,Applied Physics,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-131392/2020/fall/16320
Supervised Reading and Research,APMTH,121692,91R,Margo Levine|Sarah Iams,Applied Mathematics,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-121692/2020/spring/16207
Supervised Reading and Research,APMTH,121692,91R,Margo Levine|Sarah Iams,Applied Mathematics,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-121692/2020/fall/16257
Supervised Reading and Research,ENG-SCI,109477,91R,Zhiming Kuang|Patrick Ulrich|Christopher Lombardo|Linsey Moyer,Materials Science & Mechanical Engineering|Electrical Engineering|Bioengineering,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-109477/2020/spring/16365
Supervised Reading and Research,ENG-SCI,109477,91R,Zhiming Kuang|Patrick Ulrich|Christopher Lombardo|Linsey Moyer,Materials Science & Mechanical Engineering|Electrical Engineering|Bioengineering,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-109477/2020/fall/16397
Supervised Reading and Research,COMPSCI,113257,91R,,Computer Science,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-113257/2020/spring/16279
Supervised Reading and Research,COMPSCI,113257,91R,Boaz Barak|Stephen Chong|Adam Hesterberg,Computer Science,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-113257/2020/fall/16331
Survey of Energy Technology,ENG-SCI,109282,229,Michael Aziz,Materials Science & Mechanical Engineering|Electrical Engineering|Bioengineering,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-109282/2020/spring/17133
System Design Projects,COMPSCI,121508,96,Krzysztof Gajos,Computer Science,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-121508/2020/fall/17254
Systems and Control,ENG-SCI,207626,155,Na Li|Yue Lu,Materials Science & Mechanical Engineering|Electrical Engineering|Bioengineering,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-207626/2020/fall/16462
Systems Development for Computational Science,COMPSCI,216324,107,David Sondak,Computer Science,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-216324/2020/fall/18360
Systems Development for Computational Science,APCOMP,128105,207,David Sondak,Applied Computation,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-128105/2020/fall/18519
Systems Engineering,ENG-SCI,208004,280,Robert D. Howe|Venkat Venkatasubramanian,Materials Science & Mechanical Engineering|Electrical Engineering|Bioengineering,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-208004/2020/fall/16468
Systems Programming and Machine Organization,COMPSCI,123623,61,Eddie Kohler|Minlan Yu,Computer Science,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-123623/2020/fall/16343
Systems Security,COMPSCI,160579,263,James Mickens,Computer Science,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-160579/2020/fall/16352
Technology Venture Immersion,ENG-SCI,211051,234,Conor Walsh|Thomas Eisenmann,Materials Science & Mechanical Engineering|Electrical Engineering|Bioengineering,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-211051/2020/winter/16434
Thermodynamics by Case Study,ENG-SCI,160454,112,Scot Martin,Materials Science & Mechanical Engineering|Electrical Engineering|Bioengineering,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-160454/2020/spring/16408
Thesis Research,APMTH,115654,99R,Margo Levine|Sarah Iams,Applied Mathematics,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-115654/2020/spring/16211
Thesis Research,APMTH,115654,99R,Margo Levine|Sarah Iams,Applied Mathematics,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-115654/2020/fall/16256
Tiny Machine Learning,COMPSCI,212687,249R,Vijay Janapa Reddi,Computer Science,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-212687/2020/fall/16383
Tissue Engineering,BE,121282,125,David Mooney,Bioengineering,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-121282/2020/spring/18928
Topics in Applied Computation: Advanced Practical Data Science,APCOMP,215121,295,Pavlos Protopapas,Applied Computation,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-215121/2020/fall/21781
Topics in Applied Computation: Advanced Practical Data Science,APCOMP,215121,295,Pavlos Protopapas,Applied Computation,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-215121/2020/fall/17284
Topics in Data Visualization,COMPSCI,211349,271,Johanna Beyer,Computer Science,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-211349/2020/spring/16347
Topics in Theoretical Computer Science: Biology and Complexity,COMPSCI,120237,229R,Leslie Valiant,Computer Science,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-120237/2020/spring/16325
Topics in Theoretical Computer Science: Spectral Graph Theory in CS,COMPSCI,120237,229R,Salil Vadhan,Computer Science,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-120237/2020/fall/17076
Topics on Computation in Networks and Crowds,COMPSCI,109667,234R,Nicole Immorlica,Computer Science,2021 Spring,https://locator.tlt.harvard.edu/course/colgsas-109667/2020/spring/18143
Visualization,COMPSCI,124364,171,Hanspeter Pfister,Computer Science,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-124364/2020/fall/21827
Visualization,COMPSCI,124364,171,Hanspeter Pfister,Computer Science,2020 Fall,https://locator.tlt.harvard.edu/course/colgsas-124364/2020/fall/16358
